id,name_with_owner,url,stargazer_count,pull_requests
MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,python/cpython,https://github.com/python/cpython,56070,43336
MDEwOlJlcG9zaXRvcnk4NDMyMjI=,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,56068,15575
MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,55956,3878
MDEwOlJlcG9zaXRvcnkxODQwODYzNQ==,chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,55533,428
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,microsoft/playwright,https://github.com/microsoft/playwright,55424,12803
MDEwOlJlcG9zaXRvcnkyMDM1ODc3NDQ=,hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,55304,1998
MDEwOlJlcG9zaXRvcnk0ODY1NTA=,h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,55302,1631
MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,54752,21733
MDEwOlJlcG9zaXRvcnkzOTQ2NDAxOA==,apache/superset,https://github.com/apache/superset,54701,13906
MDEwOlJlcG9zaXRvcnkxMzgwNzYwNg==,junegunn/fzf,https://github.com/junegunn/fzf,54672,723
MDEwOlJlcG9zaXRvcnkxNDcxMjg1MA==,syncthing/syncthing,https://github.com/syncthing/syncthing,54663,3882
MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,54149,3394
MDEwOlJlcG9zaXRvcnkzMjY4OTg2Mw==,3b1b/manim,https://github.com/3b1b/manim,54062,774
MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,53794,1534
MDEwOlJlcG9zaXRvcnkzNDM5NjUxMzI=,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,53782,437
MDEwOlJlcG9zaXRvcnk2NzI3NDczNg==,ElemeFE/element,https://github.com/ElemeFE/element,53681,4794
MDEwOlJlcG9zaXRvcnk4NTE0,rails/rails,https://github.com/rails/rails,53569,32113
MDEwOlJlcG9zaXRvcnkyNjE3ODc3NTg=,bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,53417,1253
MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,53318,4371
MDEwOlJlcG9zaXRvcnkyNDYzMzU5ODc=,ventoy/Ventoy,https://github.com/ventoy/Ventoy,53193,387
MDEwOlJlcG9zaXRvcnkyMTczNzI2Ng==,sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,53047,1094
R_kgDOJPPS-Q,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,52889,408
MDEwOlJlcG9zaXRvcnkxMjc0MDc5NTc=,azl397985856/leetcode,https://github.com/azl397985856/leetcode,52558,308
MDEwOlJlcG9zaXRvcnk4Mzk5OTcwMA==,sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,52379,787
MDEwOlJlcG9zaXRvcnkxMzg4Mzk5Nzk=,scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,51647,334
MDEwOlJlcG9zaXRvcnk3MTIyMDc1Nw==,swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,51313,577
MDEwOlJlcG9zaXRvcnk3NzIxMzEyMA==,Eugeny/tabby,https://github.com/Eugeny/tabby,51108,3823
MDEwOlJlcG9zaXRvcnkxNzAwNjIx,necolas/normalize.css,https://github.com/necolas/normalize.css,51048,356
MDEwOlJlcG9zaXRvcnkxOTg3MjQ1Ng==,remix-run/react-router,https://github.com/remix-run/react-router,51046,3004
MDEwOlJlcG9zaXRvcnkyMjA2NzUyMQ==,ocornut/imgui,https://github.com/ocornut/imgui,50863,1023
MDEwOlJlcG9zaXRvcnk5MzA5MDkz,Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,50784,766
MDEwOlJlcG9zaXRvcnkxMzIzMzE1OA==,obsproject/obs-studio,https://github.com/obsproject/obs-studio,50628,5749
MDEwOlJlcG9zaXRvcnkxMzYyNDkw,psf/requests,https://github.com/psf/requests,50390,2369
MDEwOlJlcG9zaXRvcnk2ODM4OTIx,prometheus/prometheus,https://github.com/prometheus/prometheus,50164,7089
MDEwOlJlcG9zaXRvcnkyOTIwNzYyMQ==,caddyserver/caddy,https://github.com/caddyserver/caddy,50044,2047
MDEwOlJlcG9zaXRvcnkyNjY4OTU5OA==,prakhar1989/awesome-courses,https://github.com/prakhar1989/awesome-courses,49545,251
MDEwOlJlcG9zaXRvcnkyMTkzNTAzMQ==,fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp,49533,739
MDEwOlJlcG9zaXRvcnk4Mzg0NDcyMA==,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,49513,194
MDEwOlJlcG9zaXRvcnkxMjI1NjM3Ng==,ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,49487,6817
MDEwOlJlcG9zaXRvcnk3MTk0ODQ5OA==,localstack/localstack,https://github.com/localstack/localstack,49409,4379
MDEwOlJlcG9zaXRvcnkxMDExMzgzMTU=,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,49375,1241
MDEwOlJlcG9zaXRvcnkzNDgyNTg4,danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,49281,632
R_kgDOG-3nPA,openai/openai-cookbook,https://github.com/openai/openai-cookbook,49064,453
MDEwOlJlcG9zaXRvcnk1MTk4MDQ1NQ==,alacritty/alacritty,https://github.com/alacritty/alacritty,48853,2100
MDEwOlJlcG9zaXRvcnk1Mjk1MDI=,scrapy/scrapy,https://github.com/scrapy/scrapy,48748,2917
MDEwOlJlcG9zaXRvcnkyNDk1MzQ0OA==,google/material-design-icons,https://github.com/google/material-design-icons,48738,156
MDEwOlJlcG9zaXRvcnk5MDUyODgzMA==,Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,48716,863
MDEwOlJlcG9zaXRvcnk5NDkxMTE0NQ==,facebook/docusaurus,https://github.com/facebook/docusaurus,48411,5552
MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,google/guava,https://github.com/google/guava,48389,1781
MDEwOlJlcG9zaXRvcnk1NDgzMzMw,soimort/you-get,https://github.com/soimort/you-get,48276,933
MDEwOlJlcG9zaXRvcnkyOTkzNTQyMDc=,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,47969,2140
MDEwOlJlcG9zaXRvcnkxODg2NjA2NjM=,CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,47914,113
MDEwOlJlcG9zaXRvcnkxOTk1NzAwNzE=,2dust/v2rayN,https://github.com/2dust/v2rayN,47732,225
